,_id,NOME_DA_CACHAÇA,PREÇO,VOLUME,DESCRIÇÃO_DA_CACHAÇA,LOCAL_DE_PRODUÇÃO,TEMPO_DE_ARMAZENAMENTO,GRADUAÇÃO_ALCOÓLICA,DATA_COLETA,LINK
70,60d64d58e0db956271508487,Sabor de Minas de Bolso,"R$ 28,90",Volume: 170 ml,"Cachaça Sabor de Minas  BolsoEsta é um cachaça com envelhecimento por 02 (Dois) anos em tóneis de bálsamoe jequitibá, baixíssima acidez e graduação alcoólica de 42 GL, garantemà cachaça Sabor de Minas um agradável e incomparávelsabor, destacando-se entre as melhores de Salinas, tanto pelo seu suavepaladar como pela sua qualidade.Grad. Alcool.: 42,0 % Vol.)  Produzida na cidade de Salinas(MG)  Conteúdo : 170 ml Garrafa:  Bolso   Prazo de Validade: Indeterminado  Evite o consumo Excessivo de Álcool",,,"Grad. Alcool: 42,0%",25/6/2021 - 18:19:10,https://cachacaepinga.com.br/produto/81/sabor-de-minas-de-bolso
71,60d64d58e0db956271508488,Sabor de Minas Premium 950 ML,"R$ 149,90",Volume: 950 ml,"Cachaça Sabor de Minas Premium

Esta é um cachaça com envelhecimento por 04 (Quatro) anos em tóneis de bálsamo
e jequitibá, baixíssima acidez e graduação alcoólica de 42 GL, garantem
à cachaça Sabor de Minas um agradável e incomparável
sabor, destacando-se entre as melhores de Salinas, tanto pelo seu suave
paladar como pela sua qualidade.

Grad. Alcool.: 42,0 % Vol.)
Produzida na cidade de Salinas(MG) 
Conteúdo : 950 ml
 
Garrafa: Porcelana Preta banhada com Fios de Ouro 
Prazo de Validade: Indeterminado
 
Evite o consumo Excessivo de Álcool",,,"Grad. Alcool: 42,0%",25/6/2021 - 18:19:14,https://cachacaepinga.com.br/produto/80/sabor-de-minas-premium-950-ml
72,60d64d58e0db956271508489,Cachaça Boazinha 300 ML,"R$ 24,90",Volume: 270 ml,"Cachaça Boazinha  300 ML 

Grad Alcool: 44 % Vol
Envelhecida em  tónel: Balsamo
Tempo de Envelhecimento: 2 á 3 Anos
Conteúdo: 300 ml
Garrafa: Branca
Prazo de Validade: Indeterminado
Evite o consumo excessivo de Álcool",,Tempo de Envelhecimento: 2 anos,,25/6/2021 - 18:19:18,https://cachacaepinga.com.br/produto/77/cachaca-boazinha-300-ml
73,60d64d58e0db95627150848a,Cachaça Boazinha 670 ML,"R$ 44,90",Volume: 670 ml,"Grad. Alcool.: 44 % Vol.)
Envelhecida em  tónel: Balsamo
Tempo de Envelhecimento: 2 á 3 Anos
Conteúdo : 670 ml
Garrafa : Branca
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 2 anos,Grad. Alcool: 44%,25/6/2021 - 18:19:23,https://cachacaepinga.com.br/produto/76/cachaca-boazinha-670-ml
74,60d64d59e0db95627150848b,Cachaça Sabinosa Balsamo 670,"R$ 49,90",Volume: 670 ml,"Cachaça Sabinosa 670 ml 
Armazenda em tonéis de Balsamo
Grad. Alcool.: 40 % Vol.)
Produzida na cidade de Salinas (MG) .
Conteúdo : 670 ml
Garrafa : Branca
Prazo de Validade : Indeterminado",,,,25/6/2021 - 18:19:28,https://cachacaepinga.com.br/produto/75/cachaca-sabinosa-balsamo-670
75,60d64d59e0db95627150848c,Cachaça Sabinosa Jequitiba 670,"R$ 49,90",Volume: 670 ml,"Cachaça Sabinosa 670 ml 
Armazenda em tonéis de Jequitiba
Grad. Alcool.: 40 % Vol.)
Produzida na cidade de Salinas (MG)
Conteúdo: 670 ml
Garrafa : Branca
Prazo de Validade : Indeterminado",,,,25/6/2021 - 18:19:32,https://cachacaepinga.com.br/produto/74/cachaca-sabinosa-jequitiba-670
76,60d64d59e0db95627150848d,Cachaça Sabinosa Umburana 670,"R$ 49,90",Volume: 670 ml,"Cachaça Sabinosa 670 ml 
Armazenda em tonéis de Umburana 
Produzida na cidade de Salinas (MG) .
Conteúdo : 670 ml
Garrafa : branca
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,,,25/6/2021 - 18:19:37,https://cachacaepinga.com.br/produto/73/cachaca-sabinosa-umburana-670
77,60d64d59e0db95627150848e,Cachaça Sabinosa Umburana 600,"R$ 44,90",Volume: 600 ml,"Cachaça Sabinosa 600 ml 
Armazenda em tonéis de Umburana 
Produzida na cidade de Salinas (MG) .
Conteúdo : 600 ml
Garrafa : tradicional
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,,,25/6/2021 - 18:19:41,https://cachacaepinga.com.br/produto/72/cachaca-sabinosa-umburana-600
78,60d64d59e0db95627150848f,Cachaça Sabinosa Jequitiba 600,"R$ 44,90",Volume: 600 ml,"Cachaça Sabinosa Jequitiba 600 ml 
Armazenda em tonéis de Jequitiba
Grad. Alcool.: 40 % Vol.)
Produzida na cidade de Salinas (MG)
Conteúdo: 600 ml
Garrafa: Tradicional
Prazo de Validade : Indeterminado",,,,25/6/2021 - 18:19:46,https://cachacaepinga.com.br/produto/71/cachaca-sabinosa-jequitiba-600
79,60d64d59e0db956271508490,Cachaça Preciosa,"R$ 139,90",Volume: 700 ml,Cachaça Preciosa Exelente Cachaça envelhecida 4 Anos em Balsamo Graduação: 47.2 %Ultimas Unidades,,,Grad. Alcool: 47.2%,25/6/2021 - 18:19:50,https://cachacaepinga.com.br/produto/70/cachaca-preciosa
80,60d64d59e0db956271508491,Cachaça Terra de Ouro Prata 700 ml,"R$ 29,90",Volume: 700 ml,"Graduação alcool: 44 % Vol.)
Conteúdo: 700 ml
Garrafa: Transparente
Prazo de Validade: Indeterminado
Evite o consumo Excessivo de Álcool",,,,25/6/2021 - 18:19:55,https://cachacaepinga.com.br/produto/69/cachaca-terra-de-ouro-prata-700-ml
81,60d64d59e0db956271508492,Cachaça Baluarte 600 ML,"R$ 25,90",Volume: 600 ml,"Cachaça Baluarte 600 ML

Faz parte da familia Sabor de Minas mais um exelente produto

Caracteristicas

Grad. Alcool.: 40,0 % Vol.)
Produzida na cidade de Salinas(MG)
Envelhecida por 2 anos em balsamo
Conteúdo : 600 ml
Garrafa : Tradicional
Evite o consumo Excessivo de Álcool
Prazo de Validade : Indeterminado",Produzida em: Salinas(MG),,"Grad. Alcool: 40,0%",25/6/2021 - 18:19:59,https://cachacaepinga.com.br/produto/66/cachaca-baluarte-600-ml
82,60d64d59e0db956271508493,Anisio Santiago Cx com 6,"R$ 1.699,00",Volume: 600 ml,"Cachaça Anisio Santiago 
 
Cachaça Anisio Santiago Havana e Produzida em Salinas, Norte de Minas Gerais, desde a década de 1940, essa marca tornou-se símbolo da cachaça artesanal do País devido à sua qualidade e tradição. Com produção limitada e envelhecida por cerca de oito anos em tonéis de bálsamo, tornou-se rara no mercado, sendo disputada por degustadores e colecionadores do País e do exterior. O Presidente Lula e um dos que apreciam.
 
A sua demanda é reprimida pela oferta restrita no mercado. São comercializadas no MÁXIMO sete mil garrafas de 600 ml no mercado por ano. Com esse método reservado controla-se o estoque da cachaça (envelhecida) disponível para comercialização ao longo do ano. Com isso a cachaça tornou-se extremamente valorizada e muito cobiçada.
 
Informações do produto
Grad. Alcool.: 47 % Vol.)
Envelhecida em  tónel: Balsamo
Tempo de Envelhecimento: 8 Anos
Conteúdo : 600 ml
Garrafa : Tradicional
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool

 
 UM EXELENTE PRESENTE",,Tempo de Envelhecimento: 8 anos,Grad. Alcool: 47%,25/6/2021 - 18:20:4,https://cachacaepinga.com.br/produto/65/anisio-santiago-cx-com-6
83,60d64d59e0db956271508494,Cachaça Sabiá 600 ml,"R$ 74,90",Volume: 600 ml,"Cachaça Sabiá 600 ML 

Grad. Alcool.: 44 % Vol.)
Envelhecida em  tónel: Balsamo
Tempo de Envelhecimento: 10 anos
Conteúdo : 600 ml
Garrafa : Escura
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 10 anos,Grad. Alcool: 44%,25/6/2021 - 18:20:8,https://cachacaepinga.com.br/produto/64/cachaca-sabia-600-ml
84,60d64d5ae0db956271508495,Cachaça Sabinosa Balsamo 600,"R$ 44,90",Volume: 600 ml,"Grad. Alcool.: 40 % Vol.)
Tempo de envelhecimento: 3 anos Balsamo
Conteúdo: 600 ml
Garrafa: tradicional
Prazo de Validade: Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 3 anos,Grad. Alcool: 40%,25/6/2021 - 18:20:13,https://cachacaepinga.com.br/produto/63/cachaca-sabinosa-balsamo-600
85,60d64d5ae0db956271508496,Miniatura Sabiá,"R$ 12,90",Volume: 50 ml,"Cachaça Sabiá 50 ml

Grad. Alcool.: 44 % Vol.)
Envelhecida em  tónel: Balsamo
Tempo de Envelhecimento: 3 anos
Conteúdo : 50 ml
Garrafa : miniatura
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool
Miniatura Salivana 50 ML",,Tempo de Envelhecimento: 3 anos,Grad. Alcool: 44%,25/6/2021 - 18:20:17,https://cachacaepinga.com.br/produto/61/miniatura-sabia
86,60d64d5ae0db956271508497,Cachaça Havana,"R$ 469,90",Volume: 600 ml,"Cachaça Havana 
 
Cachaça Havana e Produzida em Salinas, Norte de Minas Gerais, desde a década de 1940, essa marca tornou-se símbolo da cachaça artesanal do País devido à sua qualidade e tradição. Com produção limitada e envelhecida por cerca de 12 anos em tonéis de bálsamo, tornou-se rara no mercado, sendo disputada por degustadores e colecionadores do País e do exterior. 
 
A sua demanda é reprimida pela oferta restrita no mercado. São comercializadas no MÁXIMO sete mil garrafas de 600 ml no mercado por ano. Com esse método reservado controla-se o estoque da cachaça (envelhecida) disponível para comercialização ao longo do ano. Com isso a cachaça tornou-se extremamente valorizada e muito cobiçada.
 
Informações do produto
 
Grad. Alcool.: 47 % Vol.)
Envelhecida em  tónel: Balsamo
Tempo de Envelhecimento: 12 Anos
Conteúdo : 600 ml
Garrafa : Tradicional
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 12 anos,Grad. Alcool: 47%,25/6/2021 - 18:20:22,https://cachacaepinga.com.br/produto/60/cachaca-havana
87,60d64d5ae0db956271508498,Cachaça Lua Cheia 600 ML,"R$ 84,90",Volume: 600 ml,"Início
Tudo começou em 1972 quando o Sr. João Fernandes Sobrinho homem simples das circunvizinhanças da cidade de Salinas, Minas Gerais, iniciou sua produção muito humilde e simples de aguardente de cana, ali, na Fazenda Jacurutu, com muita dificuldade e lutas.
 
Nasceu naquela busca constante pela sobrevivência de seus entes queridos um produto especial, que hoje, conhecido como CACHAÇA LUA CHEIA, alcançou os bares, restaurantes, shopping centers, e todas as mesas daqueles apreciadores da legítima cachaça artesanal brasileira.
 
Grad. Alcool.: 45 % Vol.
Produzida na cidade de Salinas (MG)
Conteúdo: 600 ml
Garrafa tradicional",,,Grad. Alcool: 45%,25/6/2021 - 18:20:26,https://cachacaepinga.com.br/produto/58/cachaca-lua-cheia-600-ml
88,60d64d5ae0db956271508499,Cachaça Terra de Ouro 700 ML,"R$ 32,90",Volume: 700 ml,"Grad. Alcool.: 44 % Vol.)
Conteúdo : 700 ml
Garrafa : trasparente
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,,Grad. Alcool: 44%,25/6/2021 - 18:20:30,https://cachacaepinga.com.br/produto/55/cachaca-terra-de-ouro-700-ml
89,60d64d5ae0db95627150849a,Cachaça Seleta 600 ML GP,"R$ 39,90",Volume: 600 ml,"Cachaça Seleta 

Grad. Alcool.: 44 % Vol.)
Envelhecimento: 2 anos em Umburana
Conteúdo : 600 ml
Garrafa : tradicional
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 2 anos,Grad. Alcool: 44%,25/6/2021 - 18:20:35,https://cachacaepinga.com.br/produto/52/cachaca-seleta-600-ml-gp
90,60d64d5ae0db95627150849b,Cachaça Seleta 670 ML,"R$ 44,90",Volume: 670 ml,"Cachaça Seleta 

Grad. Alcool.: 44 % Vol.)
Envelhecimento: 2 anos em Umburana
Conteúdo : 670 ml
Garrafa : transparente
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 2 anos,Grad. Alcool: 44%,25/6/2021 - 18:20:39,https://cachacaepinga.com.br/produto/51/cachaca-seleta-670-ml
91,60d64d5ae0db95627150849c,Cachaça Salivana 670 ML,"R$ 79,90",Volume: 670 ml,"Cachaça Salivana 670 ML 


A Cachaça Salivana e produzida pelo mesmo fabricante da Cachaça Beija - Flor

A  Produção e feita de forma muito cuidadosa são canas selecionadas e todo um cuidado especial na produção fazem da cachaça Salivana umas das mais saborosas da nossa região envelhecida em toneis de umburana por 2 anos essa e uma exelente pedida e tem aprovação da nossa loja e de nosos consumidores.

Graduação Alcolica: 42% Vol
Envelhecimento por 2 anos em Umburana
Conteudo: 670 ML
Garrafa: Transparente
Prazo de Validade: Indeterminado
Evite o consumo Exessivo de Àlcool",,,,25/6/2021 - 18:20:44,https://cachacaepinga.com.br/produto/49/cachaca-salivana-670-ml
92,60d64d5ae0db95627150849d,Cachaça Salinense 600 ML,"R$ 69,90",Volume: 600 ml,"Grad. Alcool.: 44,5 % Vol.)
Envelhecida em Balsamo por 08 Anos
Conteúdo : 600 ml
Garrafa : tradicional
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,,"Grad. Alcool: 44,5%",25/6/2021 - 18:20:48,https://cachacaepinga.com.br/produto/48/cachaca-salinense-600-ml
93,60d64d5ae0db95627150849e,Cachaça Salicana 600 ML,"R$ 29,90",Volume: 600 ml,"Grad. Alcool.: 42 % Vol.)
Conteúdo : 600 ml
Garrafa : tradicional
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,,Grad. Alcool: 42%,25/6/2021 - 18:20:53,https://cachacaepinga.com.br/produto/46/cachaca-salicana-600-ml
94,60d64d5be0db95627150849f,Cachaça Sabor de Minas 670 ML,"R$ 32,90",Volume: 670 ml,"Sabor de Minas 670 ML
Esta é um cachaça com envelhecimento por 02 (dois) anos em tóneis de bálsamo
e jequitibá,baixíssima acidez e graduação alcoólica de 42 GL , garantem
à cachaça Sabor de Minas um agradável e incomparável
sabor, destacando-se entre as melhores de Salinas, tanto pelo seu suave
paladar como pela sua qualidade.

Grad. Alcool.: 42,0 % Vol.)
Produzida na cidade de Salinas(MG)
Tempo de Envelhecimento: 2 Anos
Conteúdo : 670 ml
 
Garrafa : Tipo Garrafa Transparente     
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 2 anos,"Grad. Alcool: 42,0%",25/6/2021 - 18:21:2,https://cachacaepinga.com.br/produto/43/cachaca-sabor-de-minas-670-ml
95,60d64d5be0db9562715084a0,Cachaça Sabor de Minas 600 ML,"R$ 26,90",Volume: 600 ml,"Sabor de Minas 600 ML
Esta é um cachaça com envelhecimento por 02 (dois) anos em tóneis de bálsamo
e jequitibá,baixíssima acidez e graduação alcoólica de 42 GL , garantem
à cachaça Sabor de Minas um agradável e incomparável
sabor, destacando-se entre as melhores de Salinas, tanto pelo seu suave
paladar como pela sua qualidade.

Grad. Alcool.: 42,0 % Vol.)
Produzida na cidade de Salinas(MG)
Tempo de Envelhecimento: 2 Anos
Conteúdo : 600 ml
 
Garrafa : Tipo Tradicional     
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 2 anos,"Grad. Alcool: 42,0%",25/6/2021 - 18:21:6,https://cachacaepinga.com.br/produto/42/cachaca-sabor-de-minas-600-ml
96,60d64d5be0db9562715084a1,Cachaça Sabiá 670 ml,"R$ 79,90",Volume: 670 ml,"Cachaça Sabiá 700 ml

Grad. Alcool.: 44 % Vol.)
Envelhecida em  tónel: Balsamo
Tempo de Envelhecimento: 10 anos
Conteúdo : 670 ml
Garrafa : transparente
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 10 anos,Grad. Alcool: 44%,25/6/2021 - 18:21:11,https://cachacaepinga.com.br/produto/41/cachaca-sabia-670-ml
97,60d64d5be0db9562715084a2,Cachaça Puricana 670 ml,"R$ 37,90",Volume: 670 ml,"Grad. Alcool.: 40 % Vol.)
Tempo de Envelhecimento: 3 anos em Umburana
Conteúdo : 670 ml
Garrafa : trasparente
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 3 anos,Grad. Alcool: 40%,25/6/2021 - 18:21:15,https://cachacaepinga.com.br/produto/40/cachaca-puricana-670-ml
98,60d64d5be0db9562715084a3,Cachaça Puricana 600 ml,"R$ 34,90",Volume: 600 ml,"Grad. Alcool.: 40 % Vol.)
Tempo de Envelhecimento: 3 anos em Umburana
Conteúdo : 600 ml
Garrafa : tradicional
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 3 anos,Grad. Alcool: 40%,25/6/2021 - 18:21:20,https://cachacaepinga.com.br/produto/39/cachaca-puricana-600-ml
99,60d64d5be0db9562715084a4,Cachaça Piragibana,"R$ 219,90",Volume: 600 ml,"Piragibana 600 ML 

A Piragibana tem sua produção limitada, o processo e muito cuidadoso liderando o tempo de envelhecimento.
São 22 anos de Envelhecimento em toneis de Balsamo e Carvalho.
A Piragibana possui Sabor Persistente, Marcante Simplesmente Unico.
Não queima, e não da ressaca.

Produto com APROVAÇÃO MAXIMA da nossa Loja
 
Premios: Eleita pela Revista Playboy de 2003 como a Melhor Cachaça do Brasil.

Safra de 1981 
Armazenada em Toneis de Balsamo e Carvalho
Envelhecimento: 22 anos
Graduação: 47% Vol
Produzida em Salinas
Conteudo: 600 ML
Garrafa: Tradicional
Prazo de Validade: Indeterminado
Evite o Consumo Exessivo de Álcool",,Tempo de Envelhecimento: 22 anos,Grad. Alcool: 47%,25/6/2021 - 18:21:24,https://cachacaepinga.com.br/produto/38/cachaca-piragibana
100,60d64d5be0db9562715084a5,Cachaça Peladinha,"R$ 59,90",Volume: 700 ml,Grad. Alcool.: 42 % Vol.) Envelhecida em  tónel: Tempo de Envelhecimento: Conteúdo : 700 ml  Garrafa : tradicional Prazo de Validade : Indeterminado  Evite o consumo Excessivo de Álcool,,,Grad. Alcool: 42%,25/6/2021 - 18:21:29,https://cachacaepinga.com.br/produto/37/cachaca-peladinha
101,60d64d5be0db9562715084a6,Cachaça Paladar 670 ML,"R$ 84,90",Volume: 670 ml,"Paladar 670 ML 

Grad. Alcool.: 42 % Vol.)
Envelhecida em Toneis de Umburana
Conteúdo : 670 ml
Garrafa : Transparente
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,,Grad. Alcool: 42%,25/6/2021 - 18:21:33,https://cachacaepinga.com.br/produto/36/cachaca-paladar-670-ml
102,60d64d5be0db9562715084a7,Cachaça Meia Lua 600,"R$ 34,90",Volume: 600 ml,"Grad. Alcool.: 43 % Vol.)
Envelhecida em  tónel: Balsamo
Tempo de Envelhecimento: 2 Anos
Conteúdo : 600 ml
Garrafa : tradicional
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 2 anos,Grad. Alcool: 43%,25/6/2021 - 18:21:37,https://cachacaepinga.com.br/produto/32/cachaca-meia-lua-600
103,60d64d5be0db9562715084a8,Cachaça Majestade 670 ML,"R$ 32,90",Volume: 670 ml,"Majestade 670 ML 

Grad. Alcool.: 44 % Vol.)
Envelhecida em  tónel: Balsamo
Tempo de Envelhecimento: 2  Anos
Conteúdo : 670 ml
Garrafa : Transparente
Prazo de Validade : Indeterminado
Evite o consumo Excessivo de Álcool",,Tempo de Envelhecimento: 2 anos,Grad. Alcool: 44%,25/6/2021 - 18:21:42,https://cachacaepinga.com.br/produto/31/cachaca-majestade-670-ml
