,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento,Particao
0,NOME,O,79,0,4,7,10
1,DA,O,79,5,7,7,10
2,CACHAÇA,O,79,8,15,7,10
3,:,O,79,15,16,7,10
4,Cachaça,O,79,17,24,7,10
5,Babuxca,B-NOME_BEBIDA,79,25,32,7,10
6,Frutas,I-NOME_BEBIDA,79,33,39,7,10
7,Vermelhas,I-NOME_BEBIDA,79,40,49,7,10
8,PREÇO,O,80,0,5,7,10
9,:,O,80,5,6,7,10
10,R$,B-PRECO,80,7,9,7,10
11,52,I-PRECO,80,10,12,7,10
12,",",I-PRECO,80,12,13,7,10
13,0,I-PRECO,80,13,15,7,10
14,DESCRIÇÃO,O,81,0,9,7,10
15,DA,O,81,10,12,7,10
16,CACHAÇA,O,81,13,20,7,10
17,:,O,81,20,21,7,10
18,Este,O,81,22,26,7,10
19,sabor,O,81,27,32,7,10
20,é,O,81,33,34,7,10
21,o,O,81,35,36,7,10
22,xodó,O,81,37,41,7,10
23,daqueles,O,81,42,50,7,10
24,que,O,81,51,54,7,10
25,flertam,O,81,55,62,7,10
26,com,O,81,63,66,7,10
27,algo,O,81,67,71,7,10
28,mais,O,81,72,76,7,10
29,doce,B-CARACTERISTICA_SENSORIAL_SABOR,81,77,81,7,10
30,.,O,81,81,82,7,10
31,Apesar,O,82,0,6,7,10
32,disso,O,82,7,12,7,10
33,",",O,82,12,13,7,10
34,seu,O,82,14,17,7,10
35,gosto,O,82,18,23,7,10
36,final,O,82,24,29,7,10
37,passa,O,82,30,35,7,10
38,uma,O,82,36,39,7,10
39,sensação,O,82,40,48,7,10
40,distinta,O,82,49,57,7,10
41,do,O,82,58,60,7,10
42,comum,O,82,61,66,7,10
43,",",O,82,66,67,7,10
44,uma,O,82,68,71,7,10
45,vez,O,82,72,75,7,10
46,que,O,82,76,79,7,10
47,todos,O,82,80,85,7,10
48,os,O,82,86,88,7,10
49,ingredientes,O,82,89,101,7,10
50,são,O,82,102,105,7,10
51,naturais,O,82,106,114,7,10
52,e,O,82,115,116,7,10
53,sem,O,82,117,120,7,10
54,conservantes,O,82,121,133,7,10
55,.,O,82,133,134,7,10
56,Por,O,83,0,3,7,10
57,conta,O,83,4,9,7,10
58,disso,O,83,10,15,7,10
