,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento
0,NOME,O,176,0,4,17
1,DA,O,176,5,7,17
2,CACHAÇA,O,176,8,15,17
3,:,O,176,15,16,17
4,Cachaça,O,176,17,24,17
5,Reserva,B-NOME_BEBIDA,176,25,32,17
6,do,I-NOME_BEBIDA,176,33,35,17
7,Gerente,I-NOME_BEBIDA,176,36,43,17
8,Prata,B-CLASSIFICACAO_BEBIDA,176,44,49,17
9,PREÇO,O,177,0,5,17
10,:,O,177,5,6,17
11,R$,B-PRECO,177,7,9,17
12,45,I-PRECO,177,10,12,17
13,",",I-PRECO,177,12,13,17
14,0,I-PRECO,177,13,15,17
15,DESCRIÇÃO,O,178,0,9,17
16,DA,O,178,10,12,17
17,CACHAÇA,O,178,13,20,17
18,:,O,178,20,21,17
19,Cachaça,O,178,22,29,17
20,Reserva,B-NOME_BEBIDA,178,30,37,17
21,do,I-NOME_BEBIDA,178,38,40,17
22,Gerente,I-NOME_BEBIDA,178,41,48,17
23,Prata,B-CLASSIFICACAO_BEBIDA,178,49,54,17
24,700ml,B-VOLUME,178,55,60,17
25,Volume,O,179,0,6,17
26,:,O,179,6,7,17
27,700ml,B-VOLUME,179,8,13,17
28,Graduação,O,180,0,9,17
29,Alcoólica,O,180,10,19,17
30,:,O,180,19,20,17
31,42%,B-GRADUACAO_ALCOOLICA,180,21,24,17
32,RECIPIENTE,O,181,0,10,17
33,DE,O,181,11,13,17
34,ARMAZENAMENTO,O,181,14,27,17
35,:,O,181,27,28,17
36,Tipo,O,181,29,33,17
37,Barril,O,181,34,40,17
38,:,O,181,40,41,17
39,Inox,B-RECIPIENTE_ARMAZENAMENTO,181,42,46,17
40,-,O,181,47,48,17
41,6,B-TEMPO_ARMAZENAMENTO,181,49,50,17
42,meses,I-TEMPO_ARMAZENAMENTO,181,51,56,17
43,Tipo,O,182,0,4,17
44,:,O,182,4,5,17
45,Branca,O,182,6,12,17
46,Local,O,183,0,5,17
47,de,O,183,6,8,17
48,Produção,O,183,9,17,17
49,:,O,183,17,18,17
50,Guarapari,B-NOME_LOCAL,183,19,28,17
51,/,O,183,29,30,17
52,Espírito,B-NOME_LOCAL,183,31,39,17
53,Santo,I-NOME_LOCAL,183,40,45,17
54,NOME,O,276,0,4,28
55,DA,O,276,5,7,28
56,CACHAÇA,O,276,8,15,28
57,:,O,276,15,16,28
58,Cachaça,O,276,17,24,28
59,Fabulosa,B-NOME_BEBIDA,276,25,33,28
60,PREÇO,O,277,0,5,28
61,:,O,277,5,6,28
62,R$,B-PRECO,277,7,9,28
63,169,I-PRECO,277,10,13,28
64,",",I-PRECO,277,13,14,28
65,0,I-PRECO,277,14,16,28
66,DESCRIÇÃO,O,278,0,9,28
67,DA,O,278,10,12,28
68,CACHAÇA,O,278,13,20,28
69,:,O,278,20,21,28
70,Cachaça,O,278,22,29,28
71,Fabulosa,B-NOME_BEBIDA,278,30,38,28
72,700ml,B-VOLUME,278,39,44,28
73,Volume,O,279,0,6,28
74,:,O,279,6,7,28
75,700ml,B-VOLUME,279,8,13,28
76,Graduação,O,280,0,9,28
77,Alcoólica,O,280,10,19,28
78,:,O,280,19,20,28
79,42%,B-GRADUACAO_ALCOOLICA,280,21,24,28
80,RECIPIENTE,O,281,0,10,28
81,DE,O,281,11,13,28
82,ARMAZENAMENTO,O,281,14,27,28
83,:,O,281,27,28,28
84,Tipo,O,281,29,33,28
85,Barril,O,281,34,40,28
86,:,O,281,40,41,28
87,6,B-TEMPO_ARMAZENAMENTO,281,42,43,28
88,anos,I-TEMPO_ARMAZENAMENTO,281,44,48,28
89,Bálsamo,B-TIPO_MADEIRA,281,49,56,28
90,Tipo,O,282,0,4,28
91,:,O,282,4,5,28
92,Envelhecida,O,282,6,17,28
93,Produtor,O,283,0,8,28
94,:,O,283,8,9,28
95,Fabulosa,B-NOME_ORGANIZACAO,283,10,18,28
96,Local,O,284,0,5,28
97,de,O,284,6,8,28
98,Produção,O,284,9,17,28
99,:,O,284,17,18,28
100,Salinas,B-NOME_LOCAL,284,19,26,28
101,/,O,284,27,28,28
102,Minas,B-NOME_LOCAL,284,29,34,28
103,Gerais,I-NOME_LOCAL,284,35,41,28
104,NOME,O,293,0,4,30
105,DA,O,293,5,7,30
106,CACHAÇA,O,293,8,15,30
107,:,O,293,15,16,30
108,Cachaça,O,293,17,24,30
109,Salicana,B-NOME_BEBIDA,293,25,33,30
110,Ouro,B-CLASSIFICACAO_BEBIDA,293,34,38,30
111,PREÇO,O,294,0,5,30
112,:,O,294,5,6,30
113,R$,B-PRECO,294,7,9,30
114,48,I-PRECO,294,10,12,30
115,",",I-PRECO,294,12,13,30
116,0,I-PRECO,294,13,15,30
117,DESCRIÇÃO,O,295,0,9,30
118,DA,O,295,10,12,30
119,CACHAÇA,O,295,13,20,30
120,:,O,295,20,21,30
121,Cachaça,O,295,22,29,30
122,Salicana,B-NOME_BEBIDA,295,30,38,30
123,Ouro,B-CLASSIFICACAO_BEBIDA,295,39,43,30
124,670ml,B-VOLUME,295,44,49,30
125,Volume,O,296,0,6,30
