,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento
0,NOME,O,153,0,4,14
1,DA,O,153,5,7,14
2,CACHAÇA,O,153,8,15,14
3,:,O,153,15,16,14
4,João,B-NOME_BEBIDA,153,17,21,14
5,Mendes,I-NOME_BEBIDA,153,22,28,14
6,Prata,B-CLASSIFICACAO_BEBIDA,153,29,34,14
7,PREÇO,O,154,0,5,14
8,:,O,154,5,6,14
9,R$,B-PRECO,154,7,9,14
10,30,I-PRECO,154,10,12,14
11,",",I-PRECO,154,12,13,14
12,0,I-PRECO,154,13,15,14
13,DESCRIÇÃO,O,155,0,9,14
14,DA,O,155,10,12,14
15,CACHAÇA,O,155,13,20,14
16,:,O,155,20,21,14
17,Cachaça,O,155,22,29,14
18,Joao,B-NOME_BEBIDA,155,30,34,14
19,Mendes,I-NOME_BEBIDA,155,35,41,14
20,prata,B-CLASSIFICACAO_BEBIDA,155,42,47,14
21,(,O,155,48,49,14
22,Inox,O,155,50,54,14
23,),O,155,55,56,14
24,Volume,O,156,0,6,14
25,:,O,156,6,7,14
26,600,B-VOLUME,156,8,11,14
27,ML,I-VOLUME,156,12,14,14
28,NOME,O,184,0,4,18
29,DA,O,184,5,7,18
30,CACHAÇA,O,184,8,15,18
31,:,O,184,15,16,18
32,Cachaça,O,184,17,24,18
33,Maria,B-NOME_BEBIDA,184,25,30,18
34,da,I-NOME_BEBIDA,184,31,33,18
35,Cruz,I-NOME_BEBIDA,184,34,38,18
36,PREÇO,O,185,0,5,18
37,:,O,185,5,6,18
38,R$,B-PRECO,185,7,9,18
39,480,I-PRECO,185,10,13,18
40,",",I-PRECO,185,13,14,18
41,0,I-PRECO,185,14,16,18
42,DESCRIÇÃO,O,186,0,9,18
43,DA,O,186,10,12,18
44,CACHAÇA,O,186,13,20,18
45,:,O,186,20,21,18
46,Cachaça,O,186,22,29,18
47,Maria,B-NOME_BEBIDA,186,30,35,18
48,da,I-NOME_BEBIDA,186,36,38,18
49,Cruz,I-NOME_BEBIDA,186,39,43,18
50,700ml,B-VOLUME,186,44,49,18
51,-,O,186,50,51,18
52,Produzida,O,186,52,61,18
53,e,O,186,62,63,18
54,engarrafada,O,186,64,75,18
55,pela,O,186,76,80,18
56,Fazenda,B-NOME_ORGANIZACAO,186,81,88,18
57,Canta,I-NOME_ORGANIZACAO,186,89,94,18
58,Galo,I-NOME_ORGANIZACAO,186,95,99,18
59,na,O,186,100,102,18
60,cidade,O,186,103,109,18
61,de,O,186,110,112,18
62,Pedras,B-NOME_LOCAL,186,113,119,18
63,de,I-NOME_LOCAL,186,120,122,18
64,Maria,I-NOME_LOCAL,186,123,128,18
65,da,I-NOME_LOCAL,186,129,131,18
66,Cruz,I-NOME_LOCAL,186,132,136,18
67,na,O,186,137,139,18
68,regiao,O,186,140,146,18
69,Norte,O,186,147,152,18
70,de,O,186,153,155,18
71,Minas,B-NOME_LOCAL,186,156,161,18
72,Gerais,I-NOME_LOCAL,186,162,168,18
73,.,O,186,168,169,18
74,Fora,O,187,0,4,18
75,de,O,187,5,7,18
76,produção,O,187,8,16,18
77,ultimas,O,187,17,24,18
78,garrafas,O,187,25,33,18
79,.,O,187,33,34,18
80,Jose,B-NOME_PESSOA,188,0,4,18
81,de,I-NOME_PESSOA,188,5,7,18
82,Alencar,I-NOME_PESSOA,188,8,15,18
83,ex,O,188,16,18,18
84,Vice,O,188,19,23,18
85,Presidente,O,188,24,34,18
86,.,O,188,34,35,18
87,Volume,O,189,0,6,18
88,:,O,189,6,7,18
89,700ml,B-VOLUME,189,8,13,18
90,Graduação,O,190,0,9,18
91,Alcoólica,O,190,10,19,18
92,:,O,190,19,20,18
93,46%,B-GRADUACAO_ALCOOLICA,190,21,24,18
94,RECIPIENTE,O,191,0,10,18
95,DE,O,191,11,13,18
96,ARMAZENAMENTO,O,191,14,27,18
97,:,O,191,27,28,18
98,Tipo,O,191,29,33,18
99,Barril,O,191,34,40,18
100,:,O,191,40,41,18
101,3,B-TEMPO_ARMAZENAMENTO,191,42,43,18
102,anos,I-TEMPO_ARMAZENAMENTO,191,44,48,18
103,em,O,191,49,51,18
104,Amburana,B-TIPO_MADEIRA,191,52,60,18
105,Tipo,O,192,0,4,18
106,:,O,192,4,5,18
107,Envelhecida,O,192,6,17,18
108,Local,O,193,0,5,18
109,de,O,193,6,8,18
110,Produção,O,193,9,17,18
111,:,O,193,17,18,18
112,Pedras,B-NOME_LOCAL,193,19,25,18
113,de,I-NOME_LOCAL,193,26,28,18
114,Maria,I-NOME_LOCAL,193,29,34,18
115,da,I-NOME_LOCAL,193,35,37,18
116,Cruz,I-NOME_LOCAL,193,38,42,18
117,/,O,193,43,44,18
118,Minas,B-NOME_LOCAL,193,45,50,18
119,Gerais,I-NOME_LOCAL,193,51,57,18
120,NOME,O,255,0,4,26
121,DA,O,255,5,7,26
122,CACHAÇA,O,255,8,15,26
123,:,O,255,15,16,26
124,AGUARDENTE,O,255,17,27,26
125,COMPOSTA,O,255,28,36,26
126,COQUEIRO,B-NOME_BEBIDA,255,37,45,26
127,AZULADA,I-NOME_BEBIDA,255,46,53,26
128,PREÇO,O,256,0,5,26
129,:,O,256,5,6,26
130,R$,B-PRECO,256,7,9,26
131,54,I-PRECO,256,10,12,26
132,",",I-PRECO,256,12,13,26
133,0,I-PRECO,256,13,15,26
134,DESCRIÇÃO,O,257,0,9,26
135,DA,O,257,10,12,26
136,CACHAÇA,O,257,13,20,26
137,:,O,257,20,21,26
138,Aguardente,O,257,22,32,26
139,Composto,O,257,33,41,26
140,com,O,257,42,45,26
141,Folha,O,257,46,51,26
142,de,O,257,52,54,26
143,tangerina,O,257,55,64,26
144,A,O,257,65,66,26
145,Cachaça,O,257,67,74,26
146,Composta,O,257,75,83,26
147,Coqueiro,B-NOME_BEBIDA,257,84,92,26
148,Azulada,I-NOME_BEBIDA,257,93,100,26
149,é,O,257,101,102,26
150,uma,O,257,103,106,26
151,cachaça,O,257,107,114,26
152,composta,O,257,115,123,26
153,de,O,257,124,126,26
154,cachaça,O,257,127,134,26
155,e,O,257,135,136,26
156,folha,O,257,137,142,26
157,de,O,257,143,145,26
158,tangerina,O,257,146,155,26
