,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento
0,NOME,O,50,0,4,5
1,DA,O,50,5,7,5
2,CACHAÇA,O,50,8,15,5
3,:,O,50,15,16,5
4,Cachaça,O,50,17,24,5
5,Colombina,B-NOME_BEBIDA,50,25,34,5
6,10,B-TEMPO_ARMAZENAMENTO,50,35,37,5
7,anos,I-TEMPO_ARMAZENAMENTO,50,38,42,5
8,PREÇO,O,51,0,5,5
9,:,O,51,5,6,5
10,R$,B-PRECO,51,7,9,5
11,272,I-PRECO,51,10,13,5
12,",",I-PRECO,51,13,14,5
13,0,I-PRECO,51,14,16,5
14,DESCRIÇÃO,O,52,0,9,5
15,DA,O,52,10,12,5
16,CACHAÇA,O,52,13,20,5
17,:,O,52,20,21,5
18,Cachaça,O,52,22,29,5
19,Colombina,B-NOME_BEBIDA,52,30,39,5
20,10,B-TEMPO_ARMAZENAMENTO,52,40,42,5
21,anos,I-TEMPO_ARMAZENAMENTO,52,43,47,5
22,700ml,B-VOLUME,52,48,53,5
23,A,O,52,54,55,5
24,colombina,B-NOME_BEBIDA,52,56,65,5
25,teve,O,52,66,70,5
26,sua,O,52,71,74,5
27,qualidade,O,52,75,84,5
28,aferida,O,52,85,92,5
29,como,O,52,93,97,5
30,a,O,52,98,99,5
31,melhor,O,52,100,106,5
32,cachaça,O,52,107,114,5
33,envelhecida,O,52,115,126,5
34,.,O,52,126,127,5
35,Série,O,53,0,5,5
36,Especial,O,53,6,14,5
37,10,B-TEMPO_ARMAZENAMENTO,53,15,17,5
38,Anos,I-TEMPO_ARMAZENAMENTO,53,18,22,5
39,.,O,53,22,23,5
40,Envelhecida,O,54,0,11,5
41,em,O,54,12,14,5
42,seculares,B-RECIPIENTE_ARMAZENAMENTO,54,15,24,5
43,paróis,I-RECIPIENTE_ARMAZENAMENTO,54,25,31,5
44,de,O,54,32,34,5
45,Jatobá,B-TIPO_MADEIRA,54,35,41,5
46,",",O,54,41,42,5
47,conserva,O,54,43,51,5
48,o,O,54,52,53,5
49,puro,O,54,54,58,5
50,sabor,O,54,59,64,5
51,da,O,54,65,67,5
52,cana,B-CARACTERISTICA_SENSORIAL_SABOR,54,68,72,5
53,e,O,54,73,74,5
54,uma,O,54,75,78,5
