,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento
0,NOME,O,166,0,4,14
1,DA,O,166,5,7,14
2,CACHAÇA,O,166,8,15,14
3,:,O,166,15,16,14
4,João,B-NOME_BEBIDA,166,17,21,14
5,Mendes,I-NOME_BEBIDA,166,22,28,14
6,Prata,B-CLASSIFICACAO_BEBIDA,166,29,34,14
7,PREÇO,O,167,0,5,14
8,:,O,167,5,6,14
9,R$,B-PRECO,167,7,9,14
10,30,I-PRECO,167,10,12,14
11,",",I-PRECO,167,12,13,14
12,0,I-PRECO,167,13,15,14
13,DESCRIÇÃO,O,168,0,9,14
14,DA,O,168,10,12,14
15,CACHAÇA,O,168,13,20,14
16,:,O,168,20,21,14
17,Cachaça,O,168,22,29,14
18,Joao,B-NOME_BEBIDA,168,30,34,14
19,Mendes,I-NOME_BEBIDA,168,35,41,14
20,prata,B-CLASSIFICACAO_BEBIDA,168,42,47,14
21,(,O,168,48,49,14
22,Inox,O,168,50,54,14
23,),O,168,55,56,14
24,Volume,O,169,0,6,14
25,:,O,169,6,7,14
26,600,B-VOLUME,169,8,11,14
27,ML,I-VOLUME,169,12,14,14
28,NOME,O,201,0,4,18
29,DA,O,201,5,7,18
30,CACHAÇA,O,201,8,15,18
31,:,O,201,15,16,18
32,Cachaça,O,201,17,24,18
33,Maria,B-NOME_BEBIDA,201,25,30,18
34,da,I-NOME_BEBIDA,201,31,33,18
35,Cruz,I-NOME_BEBIDA,201,34,38,18
36,PREÇO,O,202,0,5,18
37,:,O,202,5,6,18
38,R$,B-PRECO,202,7,9,18
39,480,I-PRECO,202,10,13,18
40,",",I-PRECO,202,13,14,18
41,0,I-PRECO,202,14,16,18
42,DESCRIÇÃO,O,203,0,9,18
43,DA,O,203,10,12,18
44,CACHAÇA,O,203,13,20,18
45,:,O,203,20,21,18
46,Cachaça,O,203,22,29,18
47,Maria,B-NOME_BEBIDA,203,30,35,18
48,da,I-NOME_BEBIDA,203,36,38,18
49,Cruz,I-NOME_BEBIDA,203,39,43,18
50,700ml,B-VOLUME,203,44,49,18
51,-,O,203,50,51,18
52,Produzida,O,203,52,61,18
53,e,O,203,62,63,18
54,engarrafada,O,203,64,75,18
55,pela,O,203,76,80,18
56,Fazenda,B-NOME_ORGANIZACAO,203,81,88,18
57,Canta,I-NOME_ORGANIZACAO,203,89,94,18
58,Galo,I-NOME_ORGANIZACAO,203,95,99,18
59,na,O,203,100,102,18
60,cidade,O,203,103,109,18
61,de,O,203,110,112,18
62,Pedras,B-NOME_LOCAL,203,113,119,18
63,de,I-NOME_LOCAL,203,120,122,18
64,Maria,I-NOME_LOCAL,203,123,128,18
65,da,I-NOME_LOCAL,203,129,131,18
66,Cruz,I-NOME_LOCAL,203,132,136,18
67,na,O,203,137,139,18
68,regiao,O,203,140,146,18
69,Norte,O,203,147,152,18
70,de,O,203,153,155,18
71,Minas,B-NOME_LOCAL,203,156,161,18
72,Gerais,I-NOME_LOCAL,203,162,168,18
73,.,O,203,168,169,18
74,Fora,O,204,0,4,18
75,de,O,204,5,7,18
76,produção,O,204,8,16,18
77,ultimas,O,204,17,24,18
78,garrafas,O,204,25,33,18
79,.,O,204,33,34,18
80,Jose,B-NOME_PESSOA,205,0,4,18
81,de,I-NOME_PESSOA,205,5,7,18
82,Alencar,I-NOME_PESSOA,205,8,15,18
83,ex,O,205,16,18,18
84,Vice,O,205,19,23,18
85,Presidente,O,205,24,34,18
86,.,O,205,34,35,18
87,Volume,O,206,0,6,18
88,:,O,206,6,7,18
89,700ml,B-VOLUME,206,8,13,18
90,Graduação,O,207,0,9,18
