,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento
0,NOME,O,192,0,4,17
1,DA,O,192,5,7,17
2,CACHAÇA,O,192,8,15,17
3,:,O,192,15,16,17
4,Cachaça,O,192,17,24,17
5,Reserva,B-NOME_BEBIDA,192,25,32,17
6,do,I-NOME_BEBIDA,192,33,35,17
7,Gerente,I-NOME_BEBIDA,192,36,43,17
8,Prata,B-CLASSIFICACAO_BEBIDA,192,44,49,17
9,PREÇO,O,193,0,5,17
10,:,O,193,5,6,17
11,R$,B-PRECO,193,7,9,17
12,45,I-PRECO,193,10,12,17
13,",",I-PRECO,193,12,13,17
14,0,I-PRECO,193,13,15,17
15,DESCRIÇÃO,O,194,0,9,17
16,DA,O,194,10,12,17
17,CACHAÇA,O,194,13,20,17
18,:,O,194,20,21,17
19,Cachaça,O,194,22,29,17
20,Reserva,B-NOME_BEBIDA,194,30,37,17
21,do,I-NOME_BEBIDA,194,38,40,17
22,Gerente,I-NOME_BEBIDA,194,41,48,17
23,Prata,B-CLASSIFICACAO_BEBIDA,194,49,54,17
24,700ml,B-VOLUME,194,55,60,17
25,Volume,O,195,0,6,17
26,:,O,195,6,7,17
27,700ml,B-VOLUME,195,8,13,17
28,Graduação,O,196,0,9,17
29,Alcoólica,O,196,10,19,17
30,:,O,196,19,20,17
31,42%,B-GRADUACAO_ALCOOLICA,196,21,24,17
32,RECIPIENTE,O,197,0,10,17
33,DE,O,197,11,13,17
34,ARMAZENAMENTO,O,197,14,27,17
35,:,O,197,27,28,17
36,Tipo,O,197,29,33,17
37,Barril,O,197,34,40,17
38,:,O,197,40,41,17
39,Inox,B-RECIPIENTE_ARMAZENAMENTO,197,42,46,17
40,-,O,197,47,48,17
41,6,B-TEMPO_ARMAZENAMENTO,197,49,50,17
42,meses,I-TEMPO_ARMAZENAMENTO,197,51,56,17
43,Tipo,O,198,0,4,17
44,:,O,198,4,5,17
45,Branca,O,198,6,12,17
46,Local,O,199,0,5,17
47,de,O,199,6,8,17
48,Produção,O,199,9,17,17
49,:,O,199,17,18,17
50,Guarapari,B-NOME_LOCAL,199,19,28,17
51,/,O,199,29,30,17
52,Espírito,B-NOME_LOCAL,199,31,39,17
53,Santo,I-NOME_LOCAL,199,40,45,17
54,NOME,O,303,0,4,28
55,DA,O,303,5,7,28
56,CACHAÇA,O,303,8,15,28
57,:,O,303,15,16,28
58,Cachaça,O,303,17,24,28
59,Fabulosa,B-NOME_BEBIDA,303,25,33,28
60,PREÇO,O,304,0,5,28
61,:,O,304,5,6,28
62,R$,B-PRECO,304,7,9,28
63,169,I-PRECO,304,10,13,28
64,",",I-PRECO,304,13,14,28
65,0,I-PRECO,304,14,16,28
66,DESCRIÇÃO,O,305,0,9,28
67,DA,O,305,10,12,28
68,CACHAÇA,O,305,13,20,28
69,:,O,305,20,21,28
70,Cachaça,O,305,22,29,28
71,Fabulosa,B-NOME_BEBIDA,305,30,38,28
72,700ml,B-VOLUME,305,39,44,28
73,Volume,O,306,0,6,28
74,:,O,306,6,7,28
75,700ml,B-VOLUME,306,8,13,28
76,Graduação,O,307,0,9,28
77,Alcoólica,O,307,10,19,28
78,:,O,307,19,20,28
79,42%,B-GRADUACAO_ALCOOLICA,307,21,24,28
80,RECIPIENTE,O,308,0,10,28
81,DE,O,308,11,13,28
82,ARMAZENAMENTO,O,308,14,27,28
83,:,O,308,27,28,28
84,Tipo,O,308,29,33,28
85,Barril,O,308,34,40,28
86,:,O,308,40,41,28
87,6,B-TEMPO_ARMAZENAMENTO,308,42,43,28
88,anos,I-TEMPO_ARMAZENAMENTO,308,44,48,28
89,Bálsamo,B-TIPO_MADEIRA,308,49,56,28
90,Tipo,O,309,0,4,28
91,:,O,309,4,5,28
92,Envelhecida,O,309,6,17,28
93,Produtor,O,310,0,8,28
94,:,O,310,8,9,28
