,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento
0,NOME,O,62,0,4,6
1,DA,O,62,5,7,6
2,CACHAÇA,O,62,8,15,6
3,:,O,62,15,16,6
4,Cachaça,O,62,17,24,6
5,Babuxca,B-NOME_BEBIDA,62,25,32,6
6,Tangerina,I-NOME_BEBIDA,62,33,42,6
7,com,I-NOME_BEBIDA,62,43,46,6
8,Pimenta,I-NOME_BEBIDA,62,47,54,6
9,PREÇO,O,63,0,5,6
10,:,O,63,5,6,6
11,R$,B-PRECO,63,7,9,6
12,52,I-PRECO,63,10,12,6
13,",",I-PRECO,63,12,13,6
14,0,I-PRECO,63,13,15,6
15,DESCRIÇÃO,O,64,0,9,6
16,DA,O,64,10,12,6
17,CACHAÇA,O,64,13,20,6
18,:,O,64,20,21,6
19,Aperitivo,O,64,22,31,6
20,Babuxca,B-NOME_BEBIDA,64,32,39,6
21,Mel,I-NOME_BEBIDA,64,40,43,6
22,Tangerina,I-NOME_BEBIDA,64,44,53,6
23,e,I-NOME_BEBIDA,64,54,55,6
24,Pimenta,I-NOME_BEBIDA,64,56,63,6
25,.,O,64,63,64,6
26,A,O,65,0,1,6
27,Babuxca,B-NOME_BEBIDA,65,2,9,6
28,de,I-NOME_BEBIDA,65,10,12,6
29,Tangerina,I-NOME_BEBIDA,65,13,22,6
30,é,O,65,23,24,6
31,diferente,O,65,25,34,6
32,de,O,65,35,37,6
33,tudo,O,65,38,42,6
34,o,O,65,43,44,6
35,que,O,65,45,48,6
36,você,O,65,49,53,6
37,já,O,65,54,56,6
38,provou,O,65,57,63,6
39,!,O,65,63,64,6
40,Agrada,O,66,0,6,6
41,a,O,66,7,8,6
42,todas,O,66,9,14,6
43,a,O,66,15,16,6
44,tribos,O,66,17,23,6
45,.,O,66,23,24,6
46,Possui,O,67,0,6,6
47,até,O,67,7,10,6
48,um,O,67,11,13,6
49,cheio,O,67,14,19,6
50,especial,O,67,20,28,6
51,vindo,O,67,29,34,6
52,do,O,67,35,37,6
53,óleo,B-CARACTERISTICA_SENSORIAL_AROMA,67,38,42,6
54,da,I-CARACTERISTICA_SENSORIAL_AROMA,67,43,45,6
55,casca,I-CARACTERISTICA_SENSORIAL_AROMA,67,46,51,6
56,da,I-CARACTERISTICA_SENSORIAL_AROMA,67,52,54,6
57,tangerina,I-CARACTERISTICA_SENSORIAL_AROMA,67,55,64,6
58,.,O,67,64,65,6
59,Conta,O,68,0,5,6
60,com,O,68,6,9,6
61,a,O,68,10,11,6
62,pimenta,O,68,12,19,6
63,doce,O,68,20,24,6
64,de,O,68,25,27,6
65,moça,O,68,28,32,6
66,na,O,68,33,35,6
67,composição,O,68,36,46,6
68,",",O,68,46,47,6
69,o,O,68,48,49,6
70,que,O,68,50,53,6
71,adiciona,O,68,54,62,6
72,um,O,68,63,65,6
73,toque,O,68,66,71,6
74,leve,O,68,72,76,6
75,e,O,68,77,78,6
76,delicado,B-CARACTERISTICA_SENSORIAL_SABOR,68,79,87,6
77,mas,O,68,88,91,6
78,não,B-CARACTERISTICA_SENSORIAL_SABOR,68,92,95,6
79,picante,I-CARACTERISTICA_SENSORIAL_SABOR,68,96,103,6
80,.,O,68,103,104,6
81,Para,O,69,0,4,6
82,completar,O,69,5,14,6
83,a,O,69,15,16,6
84,composição,O,69,17,27,6
85,",",O,69,27,28,6
86,conta,O,69,29,34,6
87,com,O,69,35,38,6
88,uma,O,69,39,42,6
89,cachaça,O,69,43,50,6
90,com,O,69,51,54,6
91,um,O,69,55,57,6
92,rígido,O,69,58,64,6
93,controle,O,69,65,73,6
94,de,O,69,74,76,6
95,qualidade,O,69,77,86,6
96,.,O,69,86,87,6
97,O,O,70,0,1,6
98,mel,O,70,2,5,6
99,é,O,70,6,7,6
