,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento
0,NOME,O,1,0,4,1
1,DA,O,1,5,7,1
2,CACHAÇA,O,1,8,15,1
3,:,O,1,15,16,1
4,Cachaça,O,1,17,24,1
5,Três,B-NOME_BEBIDA,1,25,29,1
6,Coronéis,I-NOME_BEBIDA,1,30,38,1
7,PREÇO,O,2,0,5,1
8,:,O,2,5,6,1
9,R$,B-PRECO,2,7,9,1
10,35,I-PRECO,2,10,12,1
11,",",I-PRECO,2,12,13,1
12,0,I-PRECO,2,13,15,1
13,DESCRIÇÃO,O,3,0,9,1
14,DA,O,3,10,12,1
15,CACHAÇA,O,3,13,20,1
16,:,O,3,20,21,1
17,Cachaça,O,3,22,29,1
18,Três,B-NOME_BEBIDA,3,30,34,1
19,Coronéis,I-NOME_BEBIDA,3,35,43,1
20,700ml,B-VOLUME,3,44,49,1
21,Volume,O,4,0,6,1
22,:,O,4,6,7,1
23,750ml,B-VOLUME,4,8,13,1
24,Graduação,O,5,0,9,1
25,Alcoólica,O,5,10,19,1
26,:,O,5,19,20,1
27,39,B-GRADUACAO_ALCOOLICA,5,21,23,1
28,",",I-GRADUACAO_ALCOOLICA,5,23,24,1
29,2%,I-GRADUACAO_ALCOOLICA,5,24,26,1
30,RECIPIENTE,O,6,0,10,1
31,DE,O,6,11,13,1
32,ARMAZENAMENTO,O,6,14,27,1
33,:,O,6,27,28,1
34,Tipo,O,6,29,33,1
35,Barril,O,6,34,40,1
36,:,O,6,40,41,1
37,Carvalho,B-TIPO_MADEIRA,6,42,50,1
38,Tipo,O,7,0,4,1
39,:,O,7,4,5,1
40,Envelhecida,O,7,6,17,1
41,Produtor,O,8,0,8,1
42,:,O,8,8,9,1
43,Glauri,B-NOME_ORGANIZACAO,8,10,16,1
44,Ind,I-NOME_ORGANIZACAO,8,17,20,1
45,Com,I-NOME_ORGANIZACAO,8,21,24,1
46,.,I-NOME_ORGANIZACAO,8,24,25,1
47,Ltda,I-NOME_ORGANIZACAO,8,26,30,1
48,Local,O,9,0,5,1
49,de,O,9,6,8,1
50,Produção,O,9,9,17,1
51,:,O,9,17,18,1
52,Boituva,B-NOME_LOCAL,9,19,26,1
53,/,O,9,27,28,1
54,São,B-NOME_LOCAL,9,29,32,1
55,Paulo,I-NOME_LOCAL,9,33,38,1
56,NOME,O,40,0,4,4
57,DA,O,40,5,7,4
58,CACHAÇA,O,40,8,15,4
59,:,O,40,15,16,4
60,Cachaça,O,40,17,24,4
61,colombina,B-NOME_BEBIDA,40,25,34,4
62,3,B-TEMPO_ARMAZENAMENTO,40,35,36,4
63,anos,I-TEMPO_ARMAZENAMENTO,40,37,41,4
64,PREÇO,O,41,0,5,4
65,:,O,41,5,6,4
66,R$,B-PRECO,41,7,9,4
67,52,I-PRECO,41,10,12,4
68,",",I-PRECO,41,12,13,4
69,0,I-PRECO,41,13,15,4
70,DESCRIÇÃO,O,42,0,9,4
71,DA,O,42,10,12,4
72,CACHAÇA,O,42,13,20,4
73,:,O,42,20,21,4
74,Envelhecida,O,42,22,33,4
75,em,O,42,34,36,4
76,seculares,B-RECIPIENTE_ARMAZENAMENTO,42,37,46,4
77,paróis,I-RECIPIENTE_ARMAZENAMENTO,42,47,53,4
78,de,O,42,54,56,4
79,Jatobá,B-TIPO_MADEIRA,42,57,63,4
80,",",O,42,63,64,4
81,conserva,O,42,65,73,4
82,o,O,42,74,75,4
83,puro,O,42,76,80,4
84,sabor,O,42,81,86,4
85,da,O,42,87,89,4
86,cana,B-CARACTERISTICA_SENSORIAL_SABOR,42,90,94,4
87,e,O,42,95,96,4
88,uma,O,42,97,100,4
89,sutil,O,42,101,106,4
90,coloração,O,42,107,116,4
91,da,O,42,117,119,4
92,madeira,B-CARACTERISTICA_SENSORIAL_COR,42,120,127,4
93,.,O,42,127,128,4
94,Premiações,O,43,0,10,4
95,:,O,43,11,12,4
96,1º,O,43,13,15,4
97,Lugar,O,43,16,21,4
98,na,O,43,22,24,4
99,Exposição,O,43,25,34,4
100,do,O,43,35,37,4
101,Centenário,O,43,38,48,4
102,",",O,43,48,49,4
103,semana,O,43,49,55,4
104,da,O,43,56,58,4
105,arte,O,43,59,63,4
106,moderna,O,43,64,71,4
107,/,O,43,71,72,4
108,1922,B-TEMPO,43,72,76,4
109,1º,O,43,77,79,4
110,Lugar,O,43,80,85,4
111,no,O,43,86,88,4
112,concurso,O,43,89,97,4
113,de,O,43,98,100,4
114,cachaça,O,43,101,108,4
115,de,O,43,109,111,4
116,qualidade,O,43,112,121,4
117,Hotel,B-NOME_ORGANIZACAO,43,122,127,4
118,Sofitel,I-NOME_ORGANIZACAO,43,128,135,4
119,Rio,B-NOME_LOCAL,43,136,139,4
120,de,I-NOME_LOCAL,43,140,142,4
121,Janeiro,I-NOME_LOCAL,43,143,150,4
122,/,O,43,150,151,4
123,2005,B-TEMPO,43,151,155,4
124,E,O,43,156,157,4
