,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento,Particao
0,NOME,O,10,0,4,2,3
1,DA,O,10,5,7,2,3
2,CACHAÇA,O,10,8,15,2,3
3,:,O,10,15,16,2,3
4,Cachaça,O,10,17,24,2,3
5,Princesa,B-NOME_BEBIDA,10,25,33,2,3
6,Isabel,I-NOME_BEBIDA,10,34,40,2,3
7,Jaqueira,B-TIPO_MADEIRA,10,41,49,2,3
8,Ouro,B-CLASSIFICACAO_BEBIDA,10,50,54,2,3
9,PREÇO,O,11,0,5,2,3
10,:,O,11,5,6,2,3
11,R$,B-PRECO,11,7,9,2,3
12,85,I-PRECO,11,10,12,2,3
13,",",I-PRECO,11,12,13,2,3
14,0,I-PRECO,11,13,15,2,3
15,DESCRIÇÃO,O,12,0,9,2,3
16,DA,O,12,10,12,2,3
17,CACHAÇA,O,12,13,20,2,3
18,:,O,12,20,21,2,3
19,Na,O,12,22,24,2,3
20,beira,O,12,25,30,2,3
21,do,O,12,31,33,2,3
22,Rio,O,12,34,37,2,3
23,Doce,O,12,38,42,2,3
24,cultivamos,O,12,43,53,2,3
25,cacau,O,12,54,59,2,3
26,na,O,12,60,62,2,3
27,forma,O,12,63,68,2,3
28,mais,O,12,69,73,2,3
29,tradicional,O,12,74,85,2,3
30,e,O,12,86,87,2,3
31,sustentável,O,12,88,99,2,3
32,.,O,12,99,100,2,3
33,Lá,O,13,0,2,2,3
34,",",O,13,2,3,2,3
35,um,O,13,4,6,2,3
36,certo,O,13,7,12,2,3
37,dia,O,13,13,16,2,3
38,no,O,13,17,19,2,3
39,ano,O,13,20,23,2,3
40,de,O,13,24,26,2,3
41,2015,B-TEMPO,13,27,31,2,3
42,",",O,13,31,32,2,3
43,uma,O,13,33,36,2,3
44,frondosa,O,13,37,45,2,3
45,jaqueira,O,13,46,54,2,3
46,secular,O,13,55,62,2,3
47,tombou,O,13,63,69,2,3
48,durante,O,13,70,77,2,3
49,um,O,13,78,80,2,3
50,temporal,O,13,81,89,2,3
51,",",O,13,89,90,2,3
52,foi,O,13,91,94,2,3
53,quando,O,13,95,101,2,3
54,nosso,O,13,102,107,2,3
55,patriarca,O,13,108,117,2,3
56,teve,O,13,118,122,2,3
57,essa,O,13,123,127,2,3
58,grande,O,13,128,134,2,3
59,ideia,O,13,135,140,2,3
60,.,O,13,140,141,2,3
61,Recolheu,O,14,0,8,2,3
62,o,O,14,9,10,2,3
63,tronco,O,14,11,17,2,3
64,caído,O,14,18,23,2,3
65,e,O,14,24,25,2,3
66,levou,O,14,26,31,2,3
67,para,O,14,32,36,2,3
68,que,O,14,37,40,2,3
69,nosso,O,14,41,46,2,3
70,tanoeiro,O,14,47,55,2,3
71,fizesse,O,14,56,63,2,3
72,barris,O,14,64,70,2,3
73,com,O,14,71,74,2,3
74,a,O,14,75,76,2,3
75,madeira,O,14,77,84,2,3
76,.,O,14,84,85,2,3
77,De,O,15,0,2,2,3
78,volta,O,15,3,8,2,3
79,à,O,15,9,10,2,3
80,fazenda,B-NOME_LOCAL,15,11,18,2,3
81,Tupã,I-NOME_LOCAL,15,19,23,2,3
82,eles,O,15,24,28,2,3
83,foram,O,15,29,34,2,3
84,enchidos,O,15,35,43,2,3
85,de,O,15,44,46,2,3
86,cachaça,O,15,47,54,2,3
87,Princesa,B-NOME_BEBIDA,15,55,63,2,3
88,Isabel,I-NOME_BEBIDA,15,64,70,2,3
89,e,O,15,71,72,2,3
90,o,O,15,73,74,2,3
91,resultado,O,15,75,84,2,3
92,foi,O,15,85,88,2,3
93,essa,O,15,89,93,2,3
94,surpreendente,O,15,94,107,2,3
95,e,O,15,108,109,2,3
96,singular,O,15,110,118,2,3
97,bebida,O,15,119,125,2,3
98,.,O,15,125,126,2,3
99,Uma,O,16,0,3,2,3
100,bela,O,16,4,8,2,3
101,cachaça,O,16,9,16,2,3
102,",",O,16,16,17,2,3
103,com,O,16,18,21,2,3
104,coloração,O,16,22,31,2,3
105,amarelho,B-CARACTERISTICA_SENSORIAL_COR,16,32,40,2,3
106,esverdeado,I-CARACTERISTICA_SENSORIAL_COR,16,41,51,2,3
107,",",O,16,51,52,2,3
108,límpida,B-CARACTERISTICA_SENSORIAL_COR,16,53,60,2,3
109,",",O,16,60,61,2,3
110,brilhante,B-CARACTERISTICA_SENSORIAL_COR,16,62,71,2,3
111,a,O,16,72,73,2,3
112,muito,B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,16,74,79,2,3
113,encorpada,I-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA,16,80,89,2,3
114,.,O,16,89,90,2,3
115,No,O,17,0,2,2,3
116,olfato,O,17,3,9,2,3
117,percebemos,O,17,10,20,2,3
118,pouco,B-CARACTERISTICA_SENSORIAL_AROMA,17,21,26,2,3
119,álcool,I-CARACTERISTICA_SENSORIAL_AROMA,17,27,33,2,3
120,",",O,17,33,34,2,3
121,destacando,O,17,35,45,2,3
122,aromas,O,17,46,52,2,3
123,adocicados,B-CARACTERISTICA_SENSORIAL_AROMA,17,53,63,2,3
124,e,O,17,64,65,2,3
125,frutados,B-CARACTERISTICA_SENSORIAL_AROMA,17,66,74,2,3
126,.,O,17,74,75,2,3
127,Do,O,18,0,2,2,3
128,mesmo,O,18,3,8,2,3
129,modo,O,18,9,13,2,3
130,",",O,18,13,14,2,3
131,apresenta,O,18,15,24,2,3
132,baixa,B-CARACTERISTICA_SENSORIAL_SABOR,18,25,30,2,3
133,acidez,I-CARACTERISTICA_SENSORIAL_SABOR,18,31,37,2,3
134,e,O,18,38,39,2,3
135,o,O,18,40,41,2,3
136,sabor,O,18,42,47,2,3
137,é,O,18,48,49,2,3
138,suave,B-CARACTERISTICA_SENSORIAL_SABOR,18,50,55,2,3
139,",",O,18,55,56,2,3
