,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento
0,NOME,O,141,0,4,13
1,DA,O,141,5,7,13
2,CACHAÇA,O,141,8,15,13
3,:,O,141,15,16,13
4,Santo,B-NOME_BEBIDA,141,17,22,13
5,Mel,I-NOME_BEBIDA,141,23,26,13
6,PREÇO,O,142,0,5,13
7,:,O,142,5,6,13
8,R$,B-PRECO,142,7,9,13
9,51,I-PRECO,142,10,12,13
10,",",I-PRECO,142,12,13,13
11,0,I-PRECO,142,13,15,13
12,DESCRIÇÃO,O,143,0,9,13
13,DA,O,143,10,12,13
14,CACHAÇA,O,143,13,20,13
15,:,O,143,20,21,13
16,Aperitivo,O,143,22,31,13
17,Santo,B-NOME_BEBIDA,143,32,37,13
18,Mel,I-NOME_BEBIDA,143,38,41,13
19,.,O,143,41,42,13
20,Destilado,O,144,0,9,13
21,alcoólico,O,144,10,19,13
22,simples,O,144,20,27,13
23,de,O,144,28,30,13
24,cana,O,144,31,35,13
25,de,O,144,36,38,13
26,açúcar,O,144,39,45,13
27,e,O,144,46,47,13
28,mel,O,144,48,51,13
29,.,O,144,51,52,13
30,Combinação,O,145,0,10,13
31,perfeita,O,145,11,19,13
32,entre,O,145,20,25,13
33,cachaça,O,145,26,33,13
34,e,O,145,34,35,13
35,mel,O,145,36,39,13
36,",",O,145,39,40,13
37,para,O,145,41,45,13
38,todos,O,145,46,51,13
39,os,O,145,52,54,13
40,momentos,O,145,55,63,13
41,!,O,145,63,64,13
42,Ideal,O,146,0,5,13
43,para,O,146,6,10,13
44,preparar,O,146,11,19,13
45,caipirinha,O,146,20,30,13
46,e,O,146,31,32,13
47,também,O,146,33,39,13
48,para,O,146,40,44,13
49,ser,O,146,45,48,13
50,apreciada,O,146,49,58,13
51,pura,O,146,59,63,13
52,.,O,146,63,64,13
53,Fica,O,147,0,4,13
54,mais,O,147,5,9,13
55,gostosa,O,147,10,17,13
56,ainda,O,147,18,23,13
57,se,O,147,24,26,13
58,degustada,O,147,27,36,13
59,extremamente,O,147,37,49,13
60,gelada,O,147,50,56,13
61,!,O,147,56,57,13
62,Intensifique,O,148,0,12,13
63,seus,O,148,13,17,13
64,momentos,O,148,18,26,13
65,com,O,148,27,30,13
66,Santo,B-NOME_BEBIDA,148,31,36,13
67,Mel,I-NOME_BEBIDA,148,37,40,13
68,.,O,148,40,41,13
69,Conteúdo,O,149,0,8,13
70,700ml,B-VOLUME,149,9,14,13
71,.,O,149,14,15,13
72,Graduação,O,150,0,9,13
73,Alcoólica,O,150,10,19,13
74,27%,B-GRADUACAO_ALCOOLICA,150,20,23,13
75,.,O,150,23,24,13
76,Volume,O,151,0,6,13
77,:,O,151,6,7,13
78,700,B-VOLUME,151,8,11,13
79,ml,I-VOLUME,151,12,14,13
80,Graduação,O,152,0,9,13
81,Alcoólica,O,152,10,19,13
82,:,O,152,19,20,13
83,27,B-GRADUACAO_ALCOOLICA,152,21,23,13
84,%,I-GRADUACAO_ALCOOLICA,152,24,25,13
85,GL,O,152,26,28,13
86,NOME,O,310,0,4,32
87,DA,O,310,5,7,32
88,CACHAÇA,O,310,8,15,32
89,:,O,310,15,16,32
90,Cachaça,O,310,17,24,32
91,Tábua,B-NOME_BEBIDA,310,25,30,32
